                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2056,                 2.5639,                 1.4971,                0.62558,                0.70681,                0.72695,                0.53952,                0.93451,                 1.5878,                 1.2717,              0.0033142,              0.0033142,              0.0033142
                      2,                 1.0644,                 1.6701,                 1.3727,                0.71807,                0.77458,                0.78746,                0.54813,                 1.0774,                 1.2385,                 1.3749,              0.0066256,              0.0066256,              0.0066256
                      3,                 1.1295,                 1.6499,                 1.4092,                0.55107,                0.67793,                0.64303,                 0.4406,                 1.1154,                 1.8989,                 1.4853,               0.009915,               0.009915,               0.009915
                      4,                 1.1996,                 1.7626,                 1.4614,                 0.6547,                0.72247,                0.74647,                0.49884,                 1.1453,                 1.3649,                 1.5459,               0.009901,               0.009901,               0.009901
                      5,                 1.1741,                 1.7143,                 1.4551,                0.68533,                 0.6973,                 0.7403,                0.50083,                 1.1508,                 1.3085,                 1.5126,               0.009868,               0.009868,               0.009868
                      6,                 1.1654,                 1.6422,                 1.4427,                0.85052,                0.70857,                 0.8056,                0.56937,                 1.0289,                 1.1763,                 1.3978,               0.009835,               0.009835,               0.009835
                      7,                 1.1143,                 1.5457,                 1.4054,                0.80014,                0.72106,                0.79376,                0.57348,                  1.023,                 1.2115,                   1.37,               0.009802,               0.009802,               0.009802
                      8,                 1.1142,                 1.5106,                 1.4119,                 0.8233,                0.77548,                0.86246,                0.61469,                  1.017,                0.94315,                 1.3621,               0.009769,               0.009769,               0.009769
                      9,                 1.0983,                 1.4901,                 1.4047,                0.87275,                0.82297,                0.87906,                0.62998,                0.98247,                 0.8882,                 1.3205,               0.009736,               0.009736,               0.009736
                     10,                  1.076,                 1.4432,                 1.3846,                 0.8519,                0.83021,                0.88604,                0.65617,                0.92269,                0.79678,                  1.309,               0.009703,               0.009703,               0.009703
                     11,                 1.0613,                 1.3762,                 1.3683,                0.88929,                0.82689,                0.90161,                0.64938,                0.96008,                0.78534,                 1.3097,                0.00967,                0.00967,                0.00967
                     12,                 1.0437,                 1.3486,                 1.3666,                 0.8765,                0.84148,                0.90051,                0.67468,                0.87875,                0.73938,                 1.2562,               0.009637,               0.009637,               0.009637
                     13,                 1.0147,                 1.3052,                 1.3451,                0.89561,                0.83288,                0.91038,                0.68431,                0.88318,                0.75357,                 1.2475,               0.009604,               0.009604,               0.009604
                     14,                 1.0014,                 1.2728,                  1.339,                 0.8468,                0.86649,                0.92307,                0.70502,                  0.842,                0.69383,                 1.2127,               0.009571,               0.009571,               0.009571
                     15,                0.99735,                 1.2397,                 1.3249,                0.86211,                0.82994,                0.89958,                0.68739,                0.88571,                0.75913,                 1.2469,               0.009538,               0.009538,               0.009538
                     16,                0.97255,                  1.188,                 1.3155,                0.88352,                0.86302,                0.91842,                0.71754,                0.83668,                0.64985,                 1.2253,               0.009505,               0.009505,               0.009505
                     17,                0.96055,                 1.1754,                 1.3046,                0.90668,                0.85855,                0.92787,                0.71562,                0.84547,                0.64787,                 1.2108,               0.009472,               0.009472,               0.009472
                     18,                0.96133,                 1.1475,                 1.3038,                0.93596,                0.91003,                0.95243,                0.72584,                0.85834,                0.57468,                 1.2228,               0.009439,               0.009439,               0.009439
                     19,                0.95268,                 1.1429,                 1.2984,                0.91824,                0.88141,                0.94287,                0.71603,                0.86291,                0.58038,                 1.2391,               0.009406,               0.009406,               0.009406
                     20,                0.92836,                  1.096,                 1.2898,                0.89814,                0.90085,                0.94971,                0.73081,                0.82971,                0.56118,                 1.2097,               0.009373,               0.009373,               0.009373
                     21,                0.92828,                 1.0718,                 1.2933,                0.93177,                0.89825,                0.95008,                0.71931,                0.85639,                0.56458,                 1.2334,                0.00934,                0.00934,                0.00934
                     22,                0.91042,                 1.0622,                 1.2762,                0.90292,                0.91341,                0.94323,                0.73414,                0.81032,                0.58156,                 1.1965,               0.009307,               0.009307,               0.009307
                     23,                0.89349,                 1.0386,                 1.2584,                0.92113,                0.92593,                0.95795,                0.74692,                0.82175,                0.51846,                 1.1984,               0.009274,               0.009274,               0.009274
                     24,                0.89258,                 1.0171,                 1.2559,                0.91361,                0.90555,                0.94819,                0.75102,                0.78416,                0.54434,                 1.1684,               0.009241,               0.009241,               0.009241
                     25,                0.88414,                0.99769,                 1.2606,                0.91569,                0.91521,                0.96225,                 0.7616,                 0.7625,                0.50186,                 1.1726,               0.009208,               0.009208,               0.009208
                     26,                0.87658,                 1.0059,                 1.2597,                0.92113,                0.92283,                0.95496,                0.76331,                0.77444,                0.51731,                 1.1615,               0.009175,               0.009175,               0.009175
                     27,                0.86628,                0.97473,                 1.2382,                0.92153,                0.92064,                0.94347,                0.75324,                 0.7902,                0.53344,                 1.1529,               0.009142,               0.009142,               0.009142
                     28,                0.86424,                0.96467,                 1.2332,                0.93293,                0.91562,                0.95462,                0.75103,                 0.7957,                0.52926,                 1.1967,               0.009109,               0.009109,               0.009109
                     29,                0.84527,                0.94756,                 1.2284,                0.88977,                0.93041,                0.94935,                0.74986,                0.77497,                0.51869,                 1.1735,               0.009076,               0.009076,               0.009076
                     30,                0.83566,                0.89727,                  1.221,                0.94068,                0.91951,                0.96007,                0.77073,                0.74748,                0.49544,                 1.1669,               0.009043,               0.009043,               0.009043
                     31,                0.81303,                0.88671,                  1.197,                0.92936,                0.92762,                0.96346,                0.77519,                0.76898,                0.47806,                 1.1599,                0.00901,                0.00901,                0.00901
                     32,                0.81176,                0.89796,                 1.2079,                0.95109,                0.91346,                0.95903,                0.76932,                0.76086,                0.48187,                 1.1417,               0.008977,               0.008977,               0.008977
                     33,                0.81882,                0.90706,                 1.2138,                0.94901,                0.92957,                0.96919,                0.76964,                0.76662,                0.46365,                 1.1764,               0.008944,               0.008944,               0.008944
                     34,                0.81108,                 0.8872,                 1.2141,                0.92945,                0.93943,                0.96825,                0.78276,                0.72871,                0.43607,                 1.1343,               0.008911,               0.008911,               0.008911
