                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.194,                 2.3331,                 1.4907,                0.60902,                 0.6696,                0.66285,                0.44449,                  1.129,                 1.7878,                 1.5526,             0.00019487,             0.00019487,             0.00019487
                      2,                 1.2499,                 1.9885,                 1.5379,                0.58578,                0.41128,                0.45571,                 0.2872,                 1.3115,                 2.1246,                 1.7063,               0.000387,               0.000387,               0.000387
                      3,                 1.2695,                 2.0247,                 1.5618,                0.63855,                0.43524,                0.50976,                0.32803,                 1.3173,                 2.7875,                 1.7399,             0.00057525,             0.00057525,             0.00057525
                      4,                 1.2766,                 1.9419,                 1.5626,                 0.5967,                0.66715,                0.65846,                0.43797,                  1.179,                 1.6517,                 1.6445,             0.00057054,             0.00057054,             0.00057054
                      5,                  1.216,                 1.8418,                 1.5269,                0.73267,                0.64351,                 0.7182,                0.48515,                 1.2031,                 1.2933,                 1.6163,             0.00056472,             0.00056472,             0.00056472
                      6,                 1.1739,                 1.7191,                 1.5085,                0.76631,                0.68262,                0.78566,                 0.5548,                 1.0398,                 1.1818,                 1.4845,             0.00055889,             0.00055889,             0.00055889
                      7,                 1.1257,                 1.6106,                 1.4656,                0.80655,                0.73219,                 0.8189,                0.57747,                 1.0484,                 1.0467,                 1.4792,             0.00055307,             0.00055307,             0.00055307
                      8,                  1.098,                 1.5164,                 1.4473,                0.80618,                0.79561,                0.85006,                0.61086,                 1.0558,                 1.0043,                 1.5044,             0.00054725,             0.00054725,             0.00054725
                      9,                 1.0726,                 1.4738,                 1.4334,                0.84012,                 0.7718,                0.85226,                0.60963,                 1.0059,                0.98442,                 1.4311,             0.00054143,             0.00054143,             0.00054143
                     10,                 1.0433,                  1.414,                 1.4151,                0.83474,                0.81082,                0.87508,                0.63875,                0.98865,                0.87487,                 1.4352,             0.00053561,             0.00053561,             0.00053561
                     11,                 1.0433,                 1.3726,                  1.411,                0.87548,                0.78343,                0.87475,                0.63626,                0.99429,                0.81994,                 1.4069,             0.00052979,             0.00052979,             0.00052979
                     12,                0.99845,                 1.3017,                 1.3788,                0.92329,                0.80483,                0.90389,                0.67476,                 0.9142,                0.75793,                 1.3502,             0.00052397,             0.00052397,             0.00052397
                     13,                0.97576,                 1.2837,                 1.3558,                0.87175,                0.81842,                0.88252,                0.64842,                0.92752,                0.80359,                 1.3682,             0.00051815,             0.00051815,             0.00051815
                     14,                0.97933,                  1.231,                 1.3508,                0.92963,                0.85863,                0.94277,                0.70896,                 0.8673,                0.66567,                 1.3135,             0.00051232,             0.00051232,             0.00051232
                     15,                0.95389,                 1.1952,                 1.3456,                0.89955,                0.84902,                0.92344,                0.70976,                0.85374,                0.66906,                 1.2775,              0.0005065,              0.0005065,              0.0005065
                     16,                0.94008,                 1.1638,                 1.3351,                0.90261,                0.83805,                0.92638,                0.70046,                0.86922,                0.67994,                 1.2981,             0.00050068,             0.00050068,             0.00050068
                     17,                 0.9319,                 1.1323,                 1.3253,                0.87611,                0.85714,                0.91341,                0.69876,                0.86581,                0.66565,                 1.2917,             0.00049486,             0.00049486,             0.00049486
                     18,                0.90904,                 1.1099,                 1.3047,                0.92227,                0.88757,                0.94758,                0.73345,                0.85392,                0.60499,                 1.2716,             0.00048904,             0.00048904,             0.00048904
                     19,                0.90764,                 1.0777,                 1.3025,                0.92524,                0.93135,                0.95646,                0.74284,                 0.8288,                0.54763,                 1.2921,             0.00048322,             0.00048322,             0.00048322
                     20,                0.89783,                 1.0618,                 1.3064,                0.90785,                0.87819,                0.92712,                0.69932,                0.89781,                0.61761,                 1.3148,              0.0004774,              0.0004774,              0.0004774
                     21,                0.88254,                 1.0402,                 1.2906,                0.93642,                0.87183,                0.94507,                0.72385,                0.90257,                0.58692,                 1.3082,             0.00047158,             0.00047158,             0.00047158
                     22,                0.86448,                0.99933,                 1.2719,                0.93985,                0.87456,                0.94474,                0.75613,                0.78519,                0.55043,                 1.2433,             0.00046575,             0.00046575,             0.00046575
                     23,                0.86999,                0.99118,                 1.2786,                  0.963,                0.88997,                0.96432,                0.75932,                 0.7945,                0.51554,                 1.2284,             0.00045993,             0.00045993,             0.00045993
                     24,                 0.8575,                0.97687,                 1.2685,                0.89507,                0.89135,                0.94398,                0.73452,                0.81586,                0.56353,                 1.2507,             0.00045411,             0.00045411,             0.00045411
                     25,                0.83396,                0.94781,                 1.2478,                 0.9378,                0.91693,                0.95667,                0.74612,                0.82059,                0.50914,                 1.2432,             0.00044829,             0.00044829,             0.00044829
                     26,                0.83683,                0.93285,                 1.2546,                0.90728,                0.92065,                0.95879,                0.76252,                0.78397,                0.49659,                 1.2078,             0.00044247,             0.00044247,             0.00044247
                     27,                0.82145,                0.92456,                 1.2444,                0.93695,                0.91804,                0.95558,                0.75844,                 0.8239,                0.50804,                 1.2351,             0.00043665,             0.00043665,             0.00043665
                     28,                0.82483,                0.91837,                 1.2467,                0.94466,                 0.9148,                0.96069,                0.77228,                0.76272,                0.47473,                 1.2096,             0.00043083,             0.00043083,             0.00043083
                     29,                0.80694,                0.90427,                 1.2312,                0.95866,                 0.8955,                0.96189,                0.76666,                0.77195,                0.49413,                 1.2047,             0.00042501,             0.00042501,             0.00042501
                     30,                0.80187,                0.88168,                 1.2247,                0.94721,                0.93099,                0.96775,                0.77858,                0.74338,                0.45867,                 1.1964,             0.00041919,             0.00041919,             0.00041919
                     31,                0.78909,                0.87464,                 1.2164,                0.95103,                0.95062,                0.97525,                 0.7823,                0.73489,                0.43251,                 1.1868,             0.00041336,             0.00041336,             0.00041336
                     32,                0.78372,                0.86137,                  1.208,                0.91625,                 0.9313,                0.96401,                0.77106,                0.76866,                0.46193,                 1.2035,             0.00040754,             0.00040754,             0.00040754
                     33,                 0.7611,                0.84299,                 1.2004,                0.94466,                0.93973,                0.96505,                0.77637,                0.76682,                0.45119,                 1.2079,             0.00040172,             0.00040172,             0.00040172
                     34,                 0.7546,                0.84337,                 1.1969,                  0.939,                0.91744,                 0.9619,                0.79047,                0.71254,                0.45602,                 1.1617,              0.0003959,              0.0003959,              0.0003959
                     35,                 0.7524,                0.81532,                 1.1897,                0.96574,                0.91935,                 0.9635,                0.79601,                0.70594,                0.43314,                 1.1481,             0.00039008,             0.00039008,             0.00039008
                     36,                 0.7612,                 0.8311,                 1.2043,                0.96971,                0.93337,                0.96727,                0.78708,                0.72088,                0.42103,                 1.1725,             0.00038426,             0.00038426,             0.00038426
                     37,                0.73151,                0.79827,                 1.1808,                0.95008,                0.93896,                0.97084,                0.79453,                0.70513,                0.42037,                 1.1572,             0.00037844,             0.00037844,             0.00037844
                     38,                0.72987,                0.78622,                 1.1738,                0.97305,                0.92319,                0.97071,                0.80198,                0.69261,                0.41671,                 1.1315,             0.00037262,             0.00037262,             0.00037262
                     39,                0.71127,                0.75805,                 1.1639,                0.95237,                0.94554,                0.96445,                0.78916,                 0.7195,                0.42717,                 1.1638,             0.00036679,             0.00036679,             0.00036679
                     40,                0.71593,                0.76521,                 1.1669,                0.95394,                0.93518,                0.97266,                0.79739,                0.71909,                0.40786,                 1.1592,             0.00036097,             0.00036097,             0.00036097
