                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2134,                 3.3038,                 1.4479,                0.65496,                  0.617,                0.66481,                 0.4716,                 1.0189,                 1.4978,                 1.2551,              0.0033149,              0.0033149,              0.0033149
                      2,                  1.111,                 1.6458,                 1.2999,                 0.7084,                0.70785,                0.78082,                0.52648,                 1.1662,                 1.2576,                 1.3316,              0.0066263,              0.0066263,              0.0066263
                      3,                 1.1853,                 1.5045,                 1.3491,                0.59439,                0.64097,                0.67294,                 0.4545,                 1.1624,                 1.5354,                 1.3417,              0.0099157,              0.0099157,              0.0099157
                      4,                 1.2863,                 1.6012,                 1.4342,                0.66764,                0.66838,                0.70048,                0.44921,                 1.3034,                 1.5304,                 1.5051,               0.009901,               0.009901,               0.009901
                      5,                 1.2946,                 1.5069,                 1.4383,                0.65368,                0.70315,                0.71531,                0.47754,                 1.2104,                 1.3494,                 1.4312,               0.009868,               0.009868,               0.009868
                      6,                 1.2614,                  1.377,                 1.4222,                0.70176,                0.69449,                0.74242,                 0.5022,                 1.2199,                 1.2495,                 1.4226,               0.009835,               0.009835,               0.009835
                      7,                 1.2335,                 1.2969,                 1.4076,                0.70879,                0.66354,                 0.7383,                0.51083,                 1.2004,                 1.3424,                 1.4285,               0.009802,               0.009802,               0.009802
                      8,                  1.224,                 1.2529,                 1.3971,                0.82803,                0.72403,                0.78965,                0.54199,                 1.1941,                 1.0713,                 1.3861,               0.009769,               0.009769,               0.009769
                      9,                 1.1747,                 1.1745,                 1.3655,                 0.7699,                0.76378,                0.81987,                0.55865,                 1.1746,                 1.0174,                 1.4022,               0.009736,               0.009736,               0.009736
                     10,                 1.1487,                 1.1132,                 1.3343,                0.77637,                0.74978,                0.79939,                0.55051,                 1.1662,                   1.08,                 1.3961,               0.009703,               0.009703,               0.009703
                     11,                 1.1427,                  1.103,                 1.3447,                0.74073,                0.73658,                0.78713,                 0.5458,                 1.1305,                 1.0287,                 1.3345,                0.00967,                0.00967,                0.00967
                     12,                 1.1037,                 1.0139,                 1.3112,                0.78899,                0.74667,                0.81396,                0.58484,                 1.0734,                0.97752,                 1.3171,               0.009637,               0.009637,               0.009637
                     13,                 1.1001,                 1.0177,                 1.3073,                0.76318,                0.81725,                0.83262,                 0.5888,                 1.0826,                0.91691,                  1.318,               0.009604,               0.009604,               0.009604
                     14,                 1.0656,                 0.9671,                 1.2974,                0.81702,                0.77302,                0.83101,                0.59265,                 1.0731,                0.86421,                 1.3033,               0.009571,               0.009571,               0.009571
                     15,                 1.0759,                0.94824,                 1.2926,                0.80927,                0.75275,                0.80735,                0.56974,                 1.1338,                0.95013,                 1.3272,               0.009538,               0.009538,               0.009538
                     16,                 1.0718,                 0.9425,                 1.3013,                0.83429,                0.81821,                0.84765,                0.58883,                 1.1151,                0.84555,                 1.3401,               0.009505,               0.009505,               0.009505
                     17,                  1.033,                0.89421,                  1.261,                0.80781,                0.80319,                0.82042,                0.58495,                 1.0752,                0.88827,                  1.298,               0.009472,               0.009472,               0.009472
                     18,                 1.0449,                0.88384,                 1.2734,                0.80725,                0.81473,                0.86234,                0.61125,                  1.065,                0.81961,                 1.3001,               0.009439,               0.009439,               0.009439
                     19,                 1.0226,                0.85477,                 1.2523,                0.85683,                0.78745,                0.84072,                0.59522,                 1.0733,                0.83541,                 1.2847,               0.009406,               0.009406,               0.009406
                     20,                 1.0001,                0.80589,                 1.2414,                0.80516,                0.83184,                0.85431,                0.60703,                 1.0935,                0.79291,                  1.298,               0.009373,               0.009373,               0.009373
                     21,                0.98506,                 0.7917,                 1.2265,                0.80022,                0.79967,                 0.8443,                0.61235,                 1.0226,                0.83873,                 1.2824,                0.00934,                0.00934,                0.00934
                     22,                0.97988,                0.80544,                 1.2224,                0.81442,                0.82841,                0.85446,                0.62379,                 1.0163,                0.82238,                 1.2555,               0.009307,               0.009307,               0.009307
                     23,                0.98103,                0.78852,                 1.2291,                0.83825,                0.82721,                0.86392,                0.63093,                 1.0214,                0.78239,                 1.2584,               0.009274,               0.009274,               0.009274
                     24,                0.95245,                0.76851,                 1.2122,                0.84087,                0.81773,                0.86773,                0.63285,                 1.0119,                0.77845,                 1.2644,               0.009241,               0.009241,               0.009241
                     25,                 0.9516,                0.74466,                 1.2141,                0.82501,                 0.8057,                0.85785,                0.62565,                 1.0145,                0.80128,                 1.2459,               0.009208,               0.009208,               0.009208
                     26,                0.94098,                0.74267,                 1.2035,                0.88254,                0.75652,                0.84419,                0.61242,                0.99107,                  0.813,                 1.2585,               0.009175,               0.009175,               0.009175
                     27,                0.94059,                0.73669,                  1.196,                0.79971,                0.85526,                0.87754,                0.63499,                 1.0087,                0.76364,                 1.2646,               0.009142,               0.009142,               0.009142
                     28,                 0.9252,                0.73212,                 1.1947,                0.84275,                0.84148,                0.87495,                0.62916,                 1.0118,                0.74968,                 1.2722,               0.009109,               0.009109,               0.009109
                     29,                 0.9174,                0.70477,                  1.188,                0.81678,                0.81041,                0.86947,                0.64069,                0.99415,                0.81121,                 1.2255,               0.009076,               0.009076,               0.009076
                     30,                0.90727,                0.70548,                 1.1824,                0.83488,                0.83706,                0.87421,                0.63987,                 1.0141,                0.77526,                 1.2605,               0.009043,               0.009043,               0.009043
                     31,                0.89802,                0.67963,                 1.1699,                0.82996,                0.83341,                0.84889,                0.62455,                0.98667,                0.80876,                 1.2357,                0.00901,                0.00901,                0.00901
                     32,                0.90657,                0.68179,                 1.1852,                0.85472,                 0.8141,                0.87774,                0.64843,                0.98516,                0.76083,                 1.2487,               0.008977,               0.008977,               0.008977
                     33,                0.87717,                0.65032,                 1.1709,                0.86889,                0.81064,                0.85942,                0.62845,                   1.01,                0.75748,                  1.269,               0.008944,               0.008944,               0.008944
                     34,                0.86564,                0.64249,                 1.1588,                0.86411,                0.82501,                 0.8688,                0.63694,                 1.0051,                0.76999,                 1.2507,               0.008911,               0.008911,               0.008911
                     35,                0.86528,                0.63825,                 1.1684,                0.86037,                0.82686,                0.86745,                0.64185,                0.99218,                0.74942,                 1.2747,               0.008878,               0.008878,               0.008878
                     36,                0.84415,                0.62283,                 1.1466,                0.84021,                0.83175,                0.86192,                0.64386,                 0.9973,                0.76551,                 1.2653,               0.008845,               0.008845,               0.008845
                     37,                0.85899,                0.62559,                 1.1575,                0.82886,                0.84709,                0.87034,                0.65412,                0.96199,                0.73088,                 1.2346,               0.008812,               0.008812,               0.008812
                     38,                0.83215,                0.60883,                 1.1409,                0.87232,                0.83907,                0.89291,                0.65789,                0.96798,                0.68295,                 1.2373,               0.008779,               0.008779,               0.008779
